"var_name","num_of_nonmissing","pc_of_nonmissing","num_of_missing","pc_of_missing","mean","std","min","p5","p10","p25","p50","p75","p90","p95","p99","max"
"n_pre2_drug28",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug29",6112,"100.00%",0,"0.00%",0,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug30",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug31",6112,"100.00%",0,"0.00%",0.01,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug32",6112,"100.00%",0,"0.00%",0.02,0.13,0,0,0,0,0,0,0,0,1,1
"n_pre2_drug33",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug34",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug35",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug36",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug37",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug38",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre2_drug39",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre2_drug40",6112,"100.00%",0,"0.00%",0.03,0.18,0,0,0,0,0,0,0,0,1,1
"n_pre2_drug41",6112,"100.00%",0,"0.00%",0.01,0.1,0,0,0,0,0,0,0,0,1,1
"n_pre2_drug42",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug2",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug3",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,1,1
"n_pre3_drug4",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug5",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug6",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug7",6112,"100.00%",0,"0.00%",0.13,0.33,0,0,0,0,0,0,1,1,1,1
"n_pre3_drug8",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug9",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug10",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre3_drug11",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre3_drug12",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
